,num bidders,avg orig rev,avg diag rev
0,10.0,7.61100501453098,4.6156405780525
1,20.0,10.997590137065192,6.507241124617844
2,30.0,13.555887985145773,8.009009255853067
3,40.0,15.726315838583037,9.197365735930475
4,50.0,17.62077158074705,10.252199609651601
5,60.0,19.31433738788123,11.240852559428307
6,70.0,20.87779370465678,12.097702852164808
7,80.0,22.232082061267228,12.941416399757975
8,90.0,23.799821773918673,13.791797376451957
9,100.0,24.9173174234373,14.506749005981685
10,110.0,26.15428826746357,15.187926031527956
11,120.0,27.332503101088946,15.81746579032273
12,130.0,28.52920476780027,16.54967080781539
13,140.0,29.676748471845745,17.20733843751777
14,150.0,30.49828987354998,17.728236525924483
15,160.0,31.5303674021771,18.27209573638075
16,170.0,32.56204125356554,18.820755848248414
17,180.0,33.741373612309154,19.473745945503193
18,190.0,34.46641797716189,20.050574729739274
19,200.0,35.22829074662753,20.440022057096602
20,210.0,36.26895685965293,20.98113633135066
21,220.0,37.23818094191483,21.518010114677445
22,230.0,37.96218228457777,21.84631832639599
23,240.0,38.60820479569535,22.499827767212675
24,250.0,39.586785154619854,22.98778271186944
25,260.0,40.28649340064901,23.50818142763186
26,270.0,41.117344711556775,23.683661995802698
27,280.0,41.84344299265096,24.178765968039528
28,290.0,42.53472485751017,24.626614118974373
29,300.0,43.490940898097115,25.028404594702558
30,310.0,44.120302515882884,25.420686815315666
31,320.0,44.65175893710956,25.913516965068244
32,330.0,45.47718443368259,26.18325386012634
33,340.0,46.358940482267855,26.639538053965378
34,350.0,46.81903182429574,27.13385646942944
35,360.0,47.48853471762697,27.447592267812972
36,370.0,48.07402530078752,27.782489936955642
37,380.0,48.68635201147324,28.12839393496574
38,390.0,49.43248499083196,28.711157899717307
39,400.0,50.054318944216384,28.870942788495686
40,410.0,50.670984990297555,29.246399249744695
41,420.0,51.24679966852748,29.74235917205391
42,430.0,51.968809154922106,30.46876543104078
43,440.0,52.513064620249686,30.347506984009907
44,450.0,53.07063194539295,30.70988650692552
45,460.0,53.80331663589102,31.102051298601694
46,470.0,54.238403372399056,31.46954051867813
47,480.0,54.7770791326474,31.624329471033835
48,490.0,55.61597681446588,31.93703378012904
49,500.0,55.95223306268919,32.25617409694724
50,510.0,56.656226844250895,32.5729536198345
51,520.0,56.99096932960272,32.92813526186554
52,530.0,57.482653769456725,33.3160023581541
53,540.0,58.19542802875056,33.69601475463821
54,550.0,58.92035058775332,34.02493863721862
55,560.0,59.18834014972388,34.38133562555806
56,570.0,59.84259367525785,34.507231859019214
57,580.0,60.25148384182475,34.85609294477035
58,590.0,60.62429738044816,35.06685911035636
59,600.0,61.142980456377884,35.3354065132286
60,610.0,62.06850066217109,35.83465250476636
61,620.0,62.374949569551866,36.04592882396045
62,630.0,62.693763158827835,36.12665047841873
63,640.0,63.38369403815902,36.36448824600184
64,650.0,64.16191471223674,36.69956147442498
65,660.0,64.44771968999996,37.37670687663869
66,670.0,64.80922967395657,37.51633926499634
67,680.0,65.36810582049858,37.847657759980194
68,690.0,65.78359847963884,37.97660976030231
69,700.0,66.18923610297892,38.21707120042591
70,710.0,66.51134555768763,38.56599192910884
71,720.0,67.50703365727564,38.69513745518842
72,730.0,67.31212251957749,39.176246212543106
73,740.0,68.015649412647,39.29589573830714
74,750.0,68.69910738581285,39.568715198679904
75,760.0,69.49594797318954,39.92031405928679
76,770.0,69.6251690629622,40.21945305731282
77,780.0,69.7991925694953,40.328084235444116
78,790.0,70.54438014612765,40.72944899175841
79,800.0,70.86936171264892,40.875410107348166
80,810.0,71.22602311889547,41.1837507813109
81,820.0,71.76890446228333,41.50994996708852
82,830.0,72.01715116984037,41.69722337656187
83,840.0,72.63280458108936,42.16838919405181
84,850.0,73.10087022633289,42.07785096703064
85,860.0,73.45326162124881,42.475173917564796
86,870.0,73.94184546624965,42.77145416400685
87,880.0,74.27097212799505,43.03264776587941
88,890.0,74.67687845230222,43.193596259279516
89,900.0,75.29803509378935,43.63218595289994
90,910.0,75.57585499330828,43.823838661305736
91,920.0,75.86601090964557,43.88956362617722
92,930.0,76.5401446609345,44.076072458896405
93,940.0,76.77429189616603,44.24227408498395
94,950.0,77.33287786211653,44.423978598621495
95,960.0,77.42058650351512,44.775433449063925
96,970.0,78.22424221984457,45.129248734485614
97,980.0,78.05439589625715,45.328041349155654
98,990.0,78.86787325155262,45.62953019263743
99,1000.0,79.24336663686728,46.76525427858756
